idx,label,x,y,timestamp
0,v,76,157,121436173
1,v,78,157,121436260
2,v,79,159,121436288
3,v,81,162,121436320
4,v,83,164,121436341
5,v,84,167,121436353
6,v,85,169,121436361
7,v,86,171,121436373
8,v,87,173,121436381
9,v,89,175,121436397
10,v,89,178,121436405
11,v,90,181,121436413
12,v,91,183,121436421
13,v,92,186,121436433
14,v,93,188,121436442
15,v,93,190,121436450
16,v,94,193,121436460
17,v,94,196,121436468
18,v,96,199,121436481
19,v,96,201,121436490
20,v,97,203,121436498
21,v,97,205,121436508
22,v,99,209,121436525
23,v,99,211,121436534
24,v,100,213,121436544
25,v,101,215,121436554
26,v,102,217,121436564
27,v,103,220,121436575
28,v,103,222,121436586
29,v,104,224,121436597
30,v,105,226,121436608
31,v,106,228,121436619
32,v,107,230,121436631
33,v,108,232,121436645
34,v,108,234,121436661
35,v,109,237,121436673
36,v,110,239,121436689
37,v,110,242,121436710
38,v,111,245,121436725
39,v,112,247,121436766
40,v,113,249,121436786
41,v,113,251,121436815
42,v,114,253,121436835
43,v,114,255,121436875
44,v,115,258,121436899
45,v,115,260,121436939
46,v,116,262,121437009
47,v,117,260,121437155
48,v,118,258,121437179
49,v,118,256,121437195
50,v,118,253,121437215
51,v,119,251,121437232
52,v,119,249,121437251
53,v,120,247,121437267
54,v,120,242,121437284
55,v,120,240,121437300
56,v,121,234,121437317
57,v,122,232,121437335
58,v,122,230,121437352
59,v,122,226,121437370
60,v,124,221,121437406
61,v,125,219,121437423
62,v,126,216,121437441
63,v,127,214,121437459
64,v,128,212,121437460
65,v,129,210,121437479
66,v,130,207,121437498
67,v,131,205,121437517
68,v,133,203,121437536
69,v,135,198,121437555
70,v,136,196,121437575
71,v,138,194,121437576
72,v,139,192,121437596
73,v,140,189,121437616
74,v,141,187,121437636
75,v,143,184,121437656
76,v,144,182,121437677
77,v,145,180,121437698
78,v,145,178,121437719
79,v,147,176,121437740
80,v,148,174,121437763
81,v,149,171,121437786
82,v,150,169,121437818
83,v,152,167,121437883
84,v,153,165,121437936
85,v,155,163,121438017
86,v,155,161,121438065
87,v,157,159,121438177
