idx,label,x,y,timestamp
0,v,50,167,125499558
1,v,52,167,125499591
2,v,55,166,125499603
3,v,57,165,125499611
4,v,59,165,125499619
5,v,62,166,125499627
6,v,65,165,125499636
7,v,67,164,125499644
8,v,70,164,125499652
9,v,73,165,125499660
10,v,75,165,125499668
11,v,78,165,125499676
12,v,81,166,125499684
13,v,83,168,125499692
14,v,86,168,125499701
15,v,89,169,125499710
16,v,91,171,125499718
17,v,94,172,125499726
18,v,96,173,125499735
19,v,98,175,125499744
20,v,100,177,125499753
21,v,102,180,125499762
22,v,103,184,125499772
23,v,104,186,125499781
24,v,105,189,125499791
25,v,105,193,125499801
26,v,106,196,125499802
27,v,106,199,125499812
28,v,106,201,125499814
29,v,106,204,125499824
30,v,106,206,125499826
31,v,106,213,125499837
32,v,106,215,125499849
33,v,106,218,125499850
34,v,106,221,125499861
35,v,106,227,125499874
36,v,106,230,125499886
37,v,108,232,125499899
38,v,108,235,125499912
39,v,111,235,125499926
40,v,113,235,125499941
41,v,115,235,125499954
42,v,118,235,125499968
43,v,120,232,125499982
44,v,124,228,125499996
45,v,128,223,125500011
46,v,133,216,125500026
47,v,138,209,125500044
48,v,144,200,125500060
49,v,151,192,125500075
50,v,158,184,125500092
51,v,165,176,125500108
52,v,174,165,125500126
53,v,182,156,125500143
54,v,190,148,125500160
55,v,192,147,125500161
56,v,201,139,125500179
57,v,209,132,125500197
58,v,218,127,125500214
59,v,224,122,125500234
60,v,228,120,125500256
61,v,229,118,125500276
