idx,label,x,y,timestamp
0,v,79,167,1020136
1,v,78,165,1020144
2,v,77,163,1020153
3,v,76,161,1020160
4,v,76,159,1020173
5,v,76,156,1020185
6,v,78,158,1020226
7,v,79,161,1020234
8,v,81,165,1020242
9,v,81,168,1020249
10,v,83,171,1020250
11,v,85,177,1020260
12,v,88,184,1020268
13,v,91,190,1020276
14,v,94,196,1020285
15,v,97,202,1020294
16,v,99,204,1020295
17,v,101,210,1020305
18,v,103,213,1020307
19,v,107,218,1020318
20,v,109,223,1020328
21,v,111,227,1020337
22,v,113,230,1020347
23,v,115,232,1020357
24,v,116,234,1020367
25,v,118,236,1020383
26,v,120,235,1020411
27,v,122,232,1020431
28,v,123,230,1020442
29,v,124,228,1020453
30,v,126,223,1020464
31,v,127,220,1020476
32,v,130,212,1020488
33,v,132,203,1020500
34,v,135,195,1020513
35,v,137,185,1020526
36,v,140,169,1020540
37,v,143,159,1020553
38,v,144,154,1020566
39,v,145,151,1020568
40,v,147,148,1020583
41,v,148,145,1020584
42,v,149,143,1020616
