idx,label,x,y,timestamp
0,x,89,134,117052027
1,x,89,136,117052038
2,x,90,138,117052062
3,x,91,141,117052074
4,x,92,143,117052082
5,x,93,145,117052090
6,x,94,148,117052099
7,x,96,151,117052107
8,x,97,154,117052115
9,x,99,158,117052123
10,x,100,160,117052130
11,x,102,164,117052137
12,x,105,167,117052147
13,x,107,170,117052155
14,x,109,174,117052164
15,x,111,176,117052172
16,x,113,179,117052180
17,x,115,181,117052188
18,x,118,183,117052196
19,x,120,186,117052205
20,x,122,188,117052214
21,x,124,191,117052223
22,x,125,193,117052233
23,x,127,194,117052242
24,x,129,196,117052243
25,x,132,199,117052255
26,x,133,201,117052265
27,x,136,203,117052275
28,x,138,205,117052287
29,x,140,207,117052307
30,x,141,205,117052379
31,x,141,203,117052391
32,x,141,200,117052403
33,x,141,198,117052414
34,x,141,196,117052416
35,x,141,194,117052428
36,x,141,187,117052440
37,x,140,182,117052453
38,x,140,175,117052466
39,x,139,167,117052480
40,x,139,162,117052493
41,x,138,153,117052507
42,x,137,148,117052521
43,x,136,141,117052535
44,x,136,137,117052549
45,x,135,133,117052564
46,x,135,131,117052578
47,x,135,126,117052593
48,x,136,121,117052607
49,x,133,124,117052687
50,x,132,127,117052702
51,x,131,129,117052703
52,x,128,135,117052719
53,x,123,143,117052736
54,x,119,151,117052752
55,x,113,160,117052769
56,x,106,172,117052786
57,x,104,175,117052787
58,x,97,185,117052805
59,x,91,193,117052823
60,x,86,199,117052841
61,x,84,201,117052858
62,x,83,203,117052859
63,x,81,205,117052877
64,x,80,208,117052896
65,x,80,206,117052940
66,x,81,203,117052960
