idx,label,x,y,timestamp
0,x,74,166,252657080
1,x,75,168,252657112
2,x,77,168,252657132
3,x,79,169,252657153
4,x,81,170,252657165
5,x,83,172,252657173
6,x,85,175,252657185
7,x,87,177,252657193
8,x,90,178,252657201
9,x,92,181,252657209
10,x,95,183,252657217
11,x,98,184,252657225
12,x,101,187,252657233
13,x,104,190,252657242
14,x,107,193,252657250
15,x,110,195,252657257
16,x,113,198,252657265
17,x,116,201,252657274
18,x,119,203,252657282
19,x,121,206,252657291
20,x,124,209,252657300
21,x,126,210,252657309
22,x,129,213,252657318
23,x,131,215,252657328
24,x,136,218,252657338
25,x,138,221,252657349
26,x,140,223,252657359
27,x,142,224,252657370
28,x,145,225,252657380
29,x,147,227,252657381
30,x,149,230,252657393
31,x,150,233,252657404
32,x,152,236,252657416
33,x,154,239,252657427
34,x,155,241,252657439
35,x,156,244,252657452
36,x,158,246,252657465
37,x,158,243,252657553
38,x,157,241,252657566
39,x,157,239,252657579
40,x,156,236,252657592
41,x,156,234,252657593
42,x,155,229,252657607
43,x,154,224,252657621
44,x,153,219,252657636
45,x,152,213,252657650
46,x,150,208,252657666
47,x,149,203,252657681
48,x,149,200,252657696
49,x,148,198,252657697
50,x,148,193,252657713
51,x,147,190,252657728
52,x,147,188,252657743
53,x,147,183,252657760
54,x,147,181,252657761
55,x,147,175,252657778
56,x,148,170,252657794
57,x,149,164,252657811
58,x,149,162,252657828
59,x,149,159,252657829
60,x,150,157,252657847
61,x,151,153,252657866
62,x,151,150,252657913
63,x,148,151,252657978
64,x,146,153,252657996
65,x,144,157,252658015
66,x,142,158,252658033
67,x,139,160,252658034
68,x,137,162,252658053
69,x,135,164,252658054
70,x,131,168,252658075
71,x,124,174,252658095
72,x,120,178,252658115
73,x,113,186,252658135
74,x,109,190,252658156
75,x,104,194,252658177
76,x,100,199,252658200
77,x,96,204,252658221
78,x,94,207,252658222
79,x,90,211,252658244
80,x,88,214,252658266
81,x,83,219,252658296
82,x,79,223,252658319
83,x,75,227,252658342
84,x,71,231,252658366
85,x,67,235,252658389
86,x,65,238,252658413
87,x,64,240,252658435
88,x,64,242,252658511
