idx,label,x,y,timestamp
0,x,83,159,121122671
1,x,83,162,121122682
2,x,84,164,121122690
3,x,85,167,121122698
4,x,86,169,121122704
5,x,88,173,121122710
6,x,90,175,121122716
7,x,93,179,121122723
8,x,95,182,121122729
9,x,100,187,121122736
10,x,104,193,121122743
11,x,106,197,121122750
12,x,109,199,121122751
13,x,114,204,121122759
14,x,118,210,121122766
15,x,122,214,121122775
16,x,126,219,121122783
17,x,128,221,121122791
18,x,132,224,121122800
19,x,135,227,121122808
20,x,138,229,121122817
21,x,141,232,121122818
22,x,143,234,121122828
23,x,145,237,121122839
24,x,146,239,121122849
25,x,148,237,121122898
26,x,148,234,121122908
27,x,147,227,121122919
28,x,146,219,121122930
29,x,145,213,121122941
30,x,145,209,121122942
31,x,144,199,121122954
32,x,143,189,121122966
33,x,142,180,121122979
34,x,142,169,121122991
35,x,143,160,121123003
36,x,144,149,121123016
37,x,145,141,121123029
38,x,147,137,121123042
39,x,145,136,121123079
40,x,142,139,121123092
41,x,141,141,121123106
42,x,137,146,121123120
43,x,133,152,121123134
44,x,128,161,121123149
45,x,121,173,121123164
46,x,115,182,121123181
47,x,113,186,121123182
48,x,105,198,121123198
49,x,103,201,121123199
50,x,97,211,121123216
51,x,91,219,121123232
52,x,88,223,121123248
53,x,84,229,121123264
54,x,83,231,121123280
55,x,81,233,121123297
