idx,label,x,y,timestamp
0,x,119,165,11146986
1,x,121,166,11147037
2,x,123,168,11147058
3,x,125,170,11147071
4,x,127,171,11147083
5,x,129,174,11147091
6,x,130,176,11147099
7,x,133,179,11147111
8,x,134,181,11147118
9,x,135,183,11147125
10,x,138,186,11147135
11,x,140,189,11147144
12,x,141,191,11147152
13,x,143,194,11147160
14,x,145,197,11147168
15,x,147,199,11147177
16,x,149,201,11147186
17,x,150,204,11147195
18,x,152,206,11147205
19,x,154,210,11147214
20,x,156,212,11147224
21,x,158,217,11147235
22,x,159,219,11147247
23,x,161,220,11147271
24,x,162,218,11147348
25,x,162,216,11147364
26,x,162,213,11147380
27,x,162,210,11147393
28,x,162,208,11147405
29,x,162,203,11147417
30,x,162,200,11147430
31,x,162,196,11147443
32,x,162,193,11147456
33,x,162,190,11147457
34,x,162,187,11147470
35,x,163,182,11147484
36,x,164,177,11147501
37,x,164,175,11147515
38,x,165,171,11147530
39,x,166,166,11147545
40,x,167,162,11147560
41,x,167,159,11147580
42,x,168,157,11147600
43,x,169,155,11147620
44,x,170,152,11147637
45,x,171,150,11147698
46,x,172,148,11147726
47,x,170,148,11147871
48,x,168,150,11147888
49,x,164,155,11147905
50,x,160,159,11147923
51,x,156,165,11147941
52,x,150,171,11147960
53,x,147,176,11147982
54,x,144,181,11148000
55,x,140,189,11148020
56,x,137,194,11148039
57,x,133,199,11148059
58,x,130,203,11148079
59,x,129,206,11148099
60,x,125,211,11148119
61,x,123,213,11148139
62,x,121,216,11148160
63,x,119,218,11148182
