idx,label,x,y,timestamp
0,x,67,154,267690564
1,x,69,156,267690605
2,x,71,159,267690613
3,x,73,161,267690618
4,x,74,164,267690624
5,x,79,171,267690630
6,x,82,175,267690636
7,x,84,181,267690637
8,x,88,186,267690644
9,x,95,199,267690651
10,x,103,213,267690658
11,x,107,220,267690665
12,x,112,227,267690666
13,x,120,240,267690674
14,x,127,250,267690681
15,x,134,257,267690690
16,x,139,262,267690698
17,x,142,265,267690706
18,x,144,267,267690716
19,x,142,265,267690761
20,x,140,260,267690770
21,x,137,254,267690779
22,x,133,241,267690789
23,x,129,231,267690799
24,x,125,216,267690809
25,x,122,205,267690820
26,x,120,189,267690830
27,x,119,177,267690841
28,x,118,171,267690852
29,x,118,168,267690853
30,x,117,162,267690865
31,x,116,160,267690876
32,x,115,157,267690877
33,x,113,156,267690889
34,x,109,153,267690902
35,x,106,154,267690914
36,x,101,163,267690926
37,x,97,175,267690939
38,x,93,189,267690952
39,x,91,194,267690953
40,x,86,209,267690967
41,x,79,227,267690982
42,x,73,241,267690996
43,x,66,253,267691010
44,x,62,258,267691025
45,x,60,261,267691039
46,x,58,263,267691053
