idx,label,x,y,timestamp
0,x,76,137,125190649
1,x,78,138,125190705
2,x,80,139,125190753
3,x,81,141,125190778
4,x,84,142,125190798
5,x,86,143,125190810
6,x,88,144,125190818
7,x,91,147,125190826
8,x,93,149,125190834
9,x,96,152,125190842
10,x,99,155,125190850
11,x,102,158,125190858
12,x,104,161,125190866
13,x,108,164,125190875
14,x,111,168,125190883
15,x,114,171,125190890
16,x,118,174,125190898
17,x,121,179,125190907
18,x,125,182,125190915
19,x,128,186,125190924
20,x,129,189,125190933
21,x,132,193,125190934
22,x,134,197,125190944
23,x,137,201,125190954
24,x,140,204,125190964
25,x,144,210,125190974
26,x,147,212,125190984
27,x,148,215,125190995
28,x,151,216,125191006
29,x,153,216,125191022
30,x,154,214,125191042
31,x,154,212,125191054
32,x,154,210,125191055
33,x,154,207,125191067
34,x,154,199,125191079
35,x,154,192,125191092
36,x,154,183,125191104
37,x,154,175,125191117
38,x,154,163,125191130
39,x,153,155,125191144
40,x,152,145,125191157
41,x,151,143,125191158
42,x,151,137,125191172
43,x,149,129,125191187
44,x,149,125,125191200
45,x,148,123,125191214
46,x,147,121,125191234
47,x,145,122,125191254
48,x,143,124,125191269
49,x,139,128,125191284
50,x,136,134,125191299
51,x,133,139,125191315
52,x,127,148,125191331
53,x,123,154,125191347
54,x,117,164,125191364
55,x,111,172,125191381
56,x,109,175,125191382
57,x,103,183,125191400
58,x,97,189,125191417
59,x,92,197,125191435
60,x,86,203,125191452
61,x,79,212,125191471
62,x,74,216,125191489
63,x,68,223,125191507
64,x,65,223,125191526
65,x,63,225,125191544
66,x,64,223,125191602
67,x,66,221,125191621
