idx,label,x,y,timestamp
0,x,79,171,252693937
1,x,80,169,252693952
2,x,83,169,252693961
3,x,86,172,252693968
4,x,89,175,252693974
5,x,92,179,252693979
6,x,95,183,252693981
7,x,101,191,252693989
8,x,104,195,252693995
9,x,107,200,252693996
10,x,111,209,252694005
11,x,115,218,252694013
12,x,117,227,252694020
13,x,119,233,252694028
14,x,120,236,252694036
15,x,121,238,252694037
16,x,122,241,252694047
17,x,124,241,252694057
18,x,127,238,252694069
19,x,128,235,252694078
20,x,130,230,252694087
21,x,132,222,252694097
22,x,133,217,252694098
23,x,136,203,252694110
24,x,137,192,252694120
25,x,137,174,252694130
26,x,138,158,252694141
27,x,139,149,252694152
28,x,139,144,252694163
29,x,140,142,252694174
30,x,138,143,252694194
31,x,135,147,252694206
32,x,132,149,252694207
33,x,124,161,252694221
34,x,113,175,252694233
35,x,109,181,252694234
36,x,97,196,252694249
37,x,93,201,252694250
38,x,78,219,252694266
39,x,70,230,252694280
40,x,66,236,252694293
41,x,64,239,252694295
42,x,62,241,252694311
43,x,63,239,252694330
44,x,65,236,252694344
45,x,67,233,252694359
