idx,label,x,y,timestamp
0,x,51,105,202497166
1,x,50,108,202497174
2,x,51,110,202497182
3,x,51,112,202497187
4,x,52,115,202497193
5,x,54,120,202497199
6,x,55,123,202497205
7,x,58,129,202497211
8,x,59,132,202497218
9,x,60,136,202497219
10,x,62,139,202497226
11,x,63,143,202497227
12,x,66,149,202497234
13,x,69,157,202497242
14,x,71,164,202497250
15,x,74,171,202497258
16,x,76,178,202497266
17,x,78,185,202497275
18,x,80,191,202497283
19,x,82,196,202497292
20,x,83,198,202497300
21,x,86,204,202497310
22,x,87,207,202497319
23,x,88,209,202497328
24,x,90,210,202497337
25,x,93,206,202497347
26,x,94,204,202497357
27,x,95,199,202497358
28,x,97,193,202497369
29,x,99,182,202497380
30,x,102,168,202497393
31,x,103,163,202497395
32,x,105,154,202497406
33,x,107,149,202497407
34,x,111,137,202497419
35,x,115,128,202497431
36,x,118,120,202497443
37,x,120,115,202497455
38,x,120,113,202497468
39,x,118,111,202497487
40,x,116,112,202497500
41,x,110,114,202497514
42,x,108,116,202497515
43,x,103,122,202497529
44,x,94,133,202497544
45,x,86,144,202497558
46,x,83,148,202497559
47,x,74,160,202497574
48,x,72,164,202497575
49,x,61,179,202497591
50,x,54,190,202497607
51,x,51,193,202497608
52,x,44,204,202497624
53,x,41,209,202497640
54,x,43,207,202497668
