idx,label,x,y,timestamp
0,x,99,144,117043246
1,x,99,147,117043266
2,x,100,149,117043281
3,x,102,152,117043294
4,x,103,155,117043302
5,x,105,158,117043310
6,x,107,162,117043319
7,x,109,164,117043325
8,x,112,167,117043332
9,x,114,171,117043339
10,x,117,174,117043347
11,x,120,177,117043355
12,x,123,178,117043363
13,x,126,182,117043372
14,x,128,185,117043379
15,x,130,189,117043387
16,x,132,191,117043395
17,x,134,194,117043403
18,x,136,197,117043412
19,x,138,199,117043420
20,x,140,201,117043431
21,x,141,203,117043440
22,x,142,205,117043450
23,x,143,207,117043463
24,x,145,205,117043540
25,x,145,203,117043550
26,x,144,199,117043561
27,x,144,195,117043572
28,x,143,190,117043583
29,x,142,183,117043594
30,x,141,175,117043605
31,x,140,169,117043617
32,x,139,162,117043629
33,x,138,156,117043641
34,x,138,153,117043653
35,x,138,149,117043665
36,x,138,144,117043677
37,x,138,141,117043689
38,x,139,139,117043702
39,x,140,136,117043714
40,x,141,134,117043730
41,x,139,136,117043797
42,x,137,139,117043810
43,x,135,142,117043824
44,x,131,147,117043838
45,x,126,154,117043852
46,x,120,162,117043866
47,x,113,171,117043882
48,x,106,180,117043897
49,x,100,187,117043913
50,x,98,190,117043914
51,x,91,199,117043930
52,x,88,203,117043946
53,x,86,205,117043961
54,x,84,207,117043977
55,x,84,205,117044037
56,x,85,203,117044053
57,x,85,201,117044069
