idx,label,x,y,timestamp
0,x,57,131,123015078
1,x,59,132,123015178
2,x,61,135,123015195
3,x,63,138,123015203
4,x,65,140,123015212
5,x,67,142,123015220
6,x,68,144,123015226
7,x,71,149,123015232
8,x,73,152,123015240
9,x,76,154,123015248
10,x,79,158,123015256
11,x,82,160,123015264
12,x,85,164,123015272
13,x,88,167,123015281
14,x,91,168,123015289
15,x,94,171,123015298
16,x,97,173,123015306
17,x,100,175,123015315
18,x,102,178,123015323
19,x,105,181,123015332
20,x,107,182,123015341
21,x,109,184,123015351
22,x,111,186,123015360
23,x,116,191,123015370
24,x,118,193,123015380
25,x,120,194,123015391
26,x,121,197,123015401
27,x,124,199,123015412
28,x,126,201,123015423
29,x,129,205,123015435
30,x,131,207,123015446
31,x,133,209,123015458
32,x,135,211,123015469
33,x,137,214,123015481
34,x,139,216,123015494
35,x,142,219,123015508
36,x,144,220,123015529
37,x,146,223,123015543
38,x,148,224,123015556
39,x,150,226,123015571
40,x,152,228,123015590
41,x,154,229,123015615
42,x,155,231,123015631
43,x,157,230,123015700
44,x,158,228,123015732
45,x,159,226,123015748
46,x,160,224,123015763
47,x,160,220,123015778
48,x,160,215,123015793
49,x,160,211,123015808
50,x,160,209,123015824
51,x,160,206,123015825
52,x,161,204,123015841
53,x,161,201,123015858
54,x,161,195,123015874
55,x,161,191,123015891
56,x,161,188,123015908
57,x,161,186,123015909
58,x,161,180,123015927
59,x,161,176,123015944
60,x,162,171,123015962
61,x,162,166,123015980
62,x,163,163,123015998
63,x,164,159,123016017
64,x,165,156,123016035
65,x,165,154,123016036
66,x,166,151,123016057
67,x,167,146,123016077
68,x,168,144,123016096
69,x,168,141,123016115
70,x,169,137,123016135
71,x,170,135,123016157
72,x,170,132,123016177
73,x,170,130,123016197
74,x,171,128,123016227
75,x,171,126,123016255
76,x,170,124,123016319
77,x,168,126,123016360
78,x,166,127,123016381
79,x,161,132,123016403
80,x,160,134,123016405
81,x,152,140,123016433
82,x,148,144,123016456
83,x,145,147,123016457
84,x,137,152,123016486
85,x,127,160,123016514
86,x,117,168,123016542
87,x,107,177,123016569
88,x,100,186,123016594
89,x,92,193,123016619
90,x,83,201,123016643
91,x,73,211,123016668
92,x,66,218,123016693
93,x,61,223,123016718
94,x,56,228,123016743
95,x,52,231,123016769
96,x,50,232,123016793
97,x,49,234,123016819
98,x,48,236,123016880
99,x,47,238,123016906
100,x,46,240,123016931
